Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Season
32,Male,Gloves,Accessories,73,Delaware,Spring
21,Male,Shoes,Footwear,92,Virginia,Winter
20,Male,Jeans,Clothing,67,New York,Spring
26,Male,Hoodie,Clothing,40,Missouri,Summer
62,Male,Sunglasses,Accessories,98,South Dakota,Fall
27,Male,Coat,Outerwear,85,North Dakota,Spring
51,Male,Socks,Clothing,67,Oklahoma,Winter
54,Male,Boots,Footwear,89,West Virginia,Winter
55,Male,Sunglasses,Accessories,24,New Hampshire,Spring
69,Male,Backpack,Accessories,96,New York,Fall
64,Male,Jacket,Outerwear,35,Minnesota,Summer
28,Male,Sneakers,Footwear,67,Maryland,Winter
70,Male,Socks,Clothing,79,Montana,Spring
58,Male,T-shirt,Clothing,85,Alabama,Spring
56,Male,Backpack,Accessories,26,New York,Summer
26,Male,Belt,Accessories,75,Massachusetts,Summer
37,Male,Gloves,Accessories,65,Florida,Spring
44,Male,Hat,Accessories,54,New Jersey,Winter
70,Male,Coat,Outerwear,95,Massachusetts,Summer
53,Male,Skirt,Clothing,94,Wyoming,Spring
55,Male,Shoes,Footwear,86,Virginia,Spring
50,Male,Sandals,Footwear,32,South Dakota,Summer
50,Male,Sweater,Clothing,45,Kentucky,Fall
38,Male,Coat,Outerwear,76,Wyoming,Fall
64,Male,Hat,Accessories,84,West Virginia,Summer
19,Male,Shorts,Clothing,72,Virginia,Winter
40,Male,Backpack,Accessories,40,Washington,Spring
57,Male,Sweater,Clothing,89,Louisiana,Fall
44,Male,Sweater,Clothing,86,Nevada,Spring
49,Male,Shorts,Clothing,54,California,Winter
43,Male,Shorts,Clothing,36,Mississippi,Spring
24,Male,Sweater,Clothing,89,Mississippi,Winter
20,Male,Scarf,Accessories,32,California,Spring
24,Male,Dress,Clothing,67,Pennsylvania,Summer
44,Male,Scarf,Accessories,39,Kentucky,Fall
28,Male,Skirt,Clothing,29,Maine,Summer
30,Male,Backpack,Accessories,58,New Mexico,Fall
52,Male,Sweater,Clothing,65,Montana,Winter
43,Male,Hat,Accessories,94,Texas,Fall
43,Male,Sandals,Footwear,81,Kansas,Fall
39,Male,Blouse,Clothing,86,South Carolina,Winter
68,Male,Sneakers,Footwear,43,Colorado,Spring
68,Male,Skirt,Clothing,29,Georgia,Winter
49,Male,Coat,Outerwear,95,Florida,Fall
63,Male,Shirt,Clothing,28,North Carolina,Fall
56,Male,Gloves,Accessories,46,Virginia,Fall
37,Male,Jacket,Outerwear,58,Nebraska,Fall
30,Male,Coat,Outerwear,48,Missouri,Fall
19,Male,Shoes,Footwear,43,New Jersey,Fall
24,Male,Jewelry,Accessories,95,Missouri,Fall
52,Male,Skirt,Clothing,30,Colorado,Fall
63,Male,Shoes,Footwear,64,Idaho,Summer
37,Male,Gloves,Accessories,90,Wyoming,Fall
38,Male,Pants,Clothing,76,Delaware,Summer
35,Male,Boots,Footwear,96,California,Fall
28,Male,Sunglasses,Accessories,47,North Dakota,Fall
30,Male,Shirt,Clothing,85,South Carolina,Summer
69,Male,Hoodie,Clothing,55,North Carolina,Winter
41,Male,Dress,Clothing,98,Oklahoma,Fall
63,Male,Socks,Clothing,77,Maine,Spring
35,Male,Shorts,Clothing,26,Missouri,Fall
36,Male,Hat,Accessories,68,Vermont,Fall
25,Male,Shirt,Clothing,73,Connecticut,Fall
58,Male,Gloves,Accessories,27,New Hampshire,Fall
27,Male,Gloves,Accessories,23,Texas,Summer
65,Male,Backpack,Accessories,49,North Dakota,Fall
54,Male,Sunglasses,Accessories,74,California,Summer
54,Male,Skirt,Clothing,67,Virginia,Summer
59,Male,Handbag,Accessories,65,Delaware,Spring
42,Male,Handbag,Accessories,60,Kentucky,Winter
46,Male,Sneakers,Footwear,31,Delaware,Fall
33,Male,Gloves,Accessories,27,Arkansas,Fall
34,Male,Shoes,Footwear,80,Louisiana,Summer
27,Male,Jacket,Outerwear,30,Nevada,Summer
52,Male,Shirt,Clothing,25,Wyoming,Fall
29,Male,Shorts,Clothing,35,Virginia,Summer
54,Male,Jewelry,Accessories,67,Nebraska,Summer
25,Male,Hat,Accessories,46,Hawaii,Fall
41,Male,Shoes,Footwear,35,Vermont,Winter
53,Male,Coat,Outerwear,86,Oklahoma,Fall
53,Male,Backpack,Accessories,81,New Hampshire,Spring
21,Male,Hoodie,Clothing,42,Kansas,Fall
61,Male,Skirt,Clothing,43,Idaho,Fall
64,Male,Boots,Footwear,31,Illinois,Fall
51,Male,Sandals,Footwear,81,South Dakota,Fall
32,Male,Pants,Clothing,61,Massachusetts,Summer
38,Male,Gloves,Accessories,96,Alabama,Summer
58,Male,Skirt,Clothing,29,Ohio,Spring
32,Male,Sneakers,Footwear,33,Hawaii,Spring
46,Male,T-shirt,Clothing,32,Wisconsin,Summer
39,Male,Backpack,Accessories,56,Minnesota,Summer
19,Male,Shoes,Footwear,94,Georgia,Spring
50,Male,Hoodie,Clothing,53,Arkansas,Spring
36,Male,Blouse,Clothing,82,West Virginia,Fall
65,Male,Coat,Outerwear,70,Indiana,Fall
64,Male,Hat,Accessories,76,Utah,Fall
46,Male,Shoes,Footwear,29,Nebraska,Summer
36,Male,Belt,Accessories,100,North Dakota,Fall
51,Male,Backpack,Accessories,94,Missouri,Spring
51,Male,Jacket,Outerwear,25,New York,Fall
38,Male,Boots,Footwear,88,Washington,Summer
59,Male,Scarf,Accessories,78,South Carolina,Fall
57,Male,Jewelry,Accessories,45,Utah,Winter
54,Male,Hat,Accessories,73,Idaho,Summer
25,Male,Dress,Clothing,61,Pennsylvania,Summer
69,Male,Blouse,Clothing,22,Missouri,Fall
57,Male,Hat,Accessories,38,Nebraska,Spring
70,Male,Scarf,Accessories,38,Indiana,Fall
24,Male,Sneakers,Footwear,100,Arizona,Fall
67,Male,Shirt,Clothing,64,Hawaii,Winter
24,Male,T-shirt,Clothing,55,Wisconsin,Summer
62,Male,Gloves,Accessories,91,Rhode Island,Summer
57,Male,Skirt,Clothing,38,Wisconsin,Spring
55,Male,Sandals,Footwear,97,Minnesota,Winter
45,Male,Jacket,Outerwear,22,Vermont,Fall
69,Male,Skirt,Clothing,92,South Dakota,Fall
67,Male,Handbag,Accessories,84,Virginia,Fall
30,Male,Handbag,Accessories,93,Nevada,Fall
24,Male,Jacket,Outerwear,50,Hawaii,Summer
62,Male,Scarf,Accessories,64,New Jersey,Spring
43,Male,Shorts,Clothing,61,Massachusetts,Spring
35,Male,Sunglasses,Accessories,48,Oklahoma,Winter
28,Male,T-shirt,Clothing,45,California,Spring
32,Male,Belt,Accessories,88,Nevada,Spring
39,Male,Sneakers,Footwear,57,Arizona,Spring
28,Male,Hat,Accessories,68,North Carolina,Summer
47,Male,Gloves,Accessories,94,New York,Spring
20,Male,Pants,Clothing,41,Wyoming,Spring
63,Male,Socks,Clothing,83,South Dakota,Summer
25,Male,Jacket,Outerwear,22,Arkansas,Spring
29,Male,Shoes,Footwear,74,Texas,Spring
50,Male,Jeans,Clothing,90,Rhode Island,Winter
18,Male,Socks,Clothing,79,New Hampshire,Spring
70,Male,Sandals,Footwear,28,Ohio,Spring
66,Male,Scarf,Accessories,88,Utah,Fall
28,Male,Blouse,Clothing,26,Tennessee,Spring
54,Male,Jewelry,Accessories,27,Hawaii,Winter
19,Male,Sweater,Clothing,83,Arizona,Fall
20,Male,Gloves,Accessories,39,South Dakota,Summer
43,Male,Sunglasses,Accessories,89,New Jersey,Winter
38,Male,Coat,Outerwear,68,North Dakota,Winter
50,Male,Dress,Clothing,90,Iowa,Summer
64,Male,Skirt,Clothing,34,Ohio,Fall
49,Male,Pants,Clothing,51,Vermont,Summer
47,Male,Sweater,Clothing,45,Montana,Winter
36,Male,Hoodie,Clothing,88,Delaware,Winter
55,Male,Coat,Outerwear,85,New York,Summer
25,Male,Jewelry,Accessories,100,Kentucky,Winter
53,Male,Belt,Accessories,42,Oregon,Spring
49,Male,Sandals,Footwear,53,Rhode Island,Summer
35,Male,Sunglasses,Accessories,86,Nevada,Spring
29,Male,Sweater,Clothing,66,Montana,Spring
47,Male,Belt,Accessories,100,Pennsylvania,Winter
53,Male,Handbag,Accessories,47,Alaska,Fall
33,Male,Skirt,Clothing,25,Mississippi,Fall
21,Male,Handbag,Accessories,51,Wyoming,Winter
32,Male,Shorts,Clothing,41,Delaware,Summer
52,Male,Boots,Footwear,73,Oklahoma,Winter
67,Male,Sunglasses,Accessories,42,Indiana,Winter
43,Male,Scarf,Accessories,20,Maryland,Spring
58,Male,Jewelry,Accessories,30,South Dakota,Spring
20,Male,Handbag,Accessories,53,West Virginia,Summer
61,Male,Gloves,Accessories,74,Alabama,Spring
32,Male,Jeans,Clothing,57,Louisiana,Fall
38,Male,Hat,Accessories,57,Montana,Winter
21,Male,Jeans,Clothing,77,California,Winter
37,Male,Pants,Clothing,40,Hawaii,Summer
27,Male,Shorts,Clothing,46,Iowa,Summer
36,Male,Pants,Clothing,78,Colorado,Fall
32,Male,Backpack,Accessories,59,Michigan,Spring
51,Male,Jewelry,Accessories,75,Louisiana,Summer
64,Male,Sweater,Clothing,54,Maryland,Spring
68,Male,Shoes,Footwear,42,Georgia,Spring
68,Male,Blouse,Clothing,44,Georgia,Winter
33,Male,Jeans,Clothing,52,North Dakota,Fall
65,Male,Sunglasses,Accessories,69,Maryland,Summer
48,Male,Jewelry,Accessories,26,Oregon,Summer
69,Male,Coat,Outerwear,33,North Dakota,Spring
59,Male,Jewelry,Accessories,32,Maryland,Spring
48,Male,Backpack,Accessories,85,Virginia,Winter
25,Male,Skirt,Clothing,30,South Dakota,Fall
29,Male,Shirt,Clothing,29,Georgia,Winter
57,Male,Sweater,Clothing,95,Hawaii,Spring
23,Male,Sneakers,Footwear,69,Arkansas,Summer
45,Male,Sandals,Footwear,69,Montana,Fall
38,Male,Belt,Accessories,61,Oklahoma,Spring
21,Male,Skirt,Clothing,94,Minnesota,Summer
32,Male,Sweater,Clothing,30,Montana,Fall
63,Male,Skirt,Clothing,45,Ohio,Summer
29,Male,Handbag,Accessories,39,Kentucky,Summer
27,Male,Jewelry,Accessories,51,Nebraska,Summer
56,Male,Scarf,Accessories,37,Delaware,Spring
30,Male,T-shirt,Clothing,62,North Carolina,Winter
49,Male,Coat,Outerwear,85,New York,Fall
58,Male,T-shirt,Clothing,33,Colorado,Winter
57,Male,Dress,Clothing,26,Delaware,Fall
60,Male,Shoes,Footwear,99,Utah,Spring
69,Male,Handbag,Accessories,39,Connecticut,Spring
70,Male,Skirt,Clothing,20,New Jersey,Spring
53,Male,Sunglasses,Accessories,42,West Virginia,Winter
25,Male,Sandals,Footwear,74,Indiana,Spring
48,Male,Shoes,Footwear,26,Delaware,Summer
69,Male,T-shirt,Clothing,53,Maryland,Winter
25,Male,Sneakers,Footwear,80,Pennsylvania,Summer
29,Male,Hat,Accessories,98,Iowa,Spring
46,Male,Skirt,Clothing,95,Pennsylvania,Spring
37,Male,Sweater,Clothing,44,Delaware,Summer
20,Male,Sandals,Footwear,60,Oregon,Summer
40,Male,Dress,Clothing,84,Oregon,Winter
60,Male,Sweater,Clothing,59,Utah,Fall
26,Male,Jacket,Outerwear,49,North Dakota,Summer
29,Male,Gloves,Accessories,32,Florida,Winter
66,Male,Handbag,Accessories,29,Maryland,Fall
66,Male,Dress,Clothing,22,Minnesota,Spring
56,Male,Pants,Clothing,85,Montana,Winter
69,Male,Jeans,Clothing,52,Rhode Island,Winter
38,Male,Pants,Clothing,89,Massachusetts,Spring
42,Male,Dress,Clothing,77,Vermont,Spring
30,Male,Pants,Clothing,24,New Jersey,Summer
66,Male,Jewelry,Accessories,24,Wisconsin,Spring
36,Male,Handbag,Accessories,22,California,Fall
58,Male,Sweater,Clothing,82,West Virginia,Fall
45,Male,Backpack,Accessories,67,South Dakota,Winter
47,Male,Shorts,Clothing,74,Maine,Spring
66,Male,Jewelry,Accessories,72,Kansas,Summer
41,Male,Sneakers,Footwear,36,Vermont,Summer
41,Male,Belt,Accessories,95,Tennessee,Winter
66,Male,Hoodie,Clothing,78,Tennessee,Winter
37,Male,Shirt,Clothing,82,Wyoming,Summer
70,Male,Pants,Clothing,70,Vermont,Winter
62,Male,Scarf,Accessories,41,New Jersey,Fall
61,Male,Coat,Outerwear,42,Iowa,Summer
48,Male,Coat,Outerwear,50,Florida,Fall
70,Male,Socks,Clothing,31,Nevada,Summer
46,Male,Sweater,Clothing,51,North Dakota,Winter
31,Male,Shirt,Clothing,98,Florida,Fall
19,Male,Shirt,Clothing,86,New York,Winter
39,Male,Sweater,Clothing,64,Alaska,Winter
41,Male,Blouse,Clothing,46,Kansas,Fall
20,Male,Sweater,Clothing,85,Oregon,Spring
36,Male,Hat,Accessories,81,Rhode Island,Fall
32,Male,Sweater,Clothing,59,New Mexico,Winter
69,Male,Hoodie,Clothing,79,Massachusetts,Winter
40,Male,Shorts,Clothing,33,Pennsylvania,Spring
40,Male,Shorts,Clothing,47,New Jersey,Summer
20,Male,Hat,Accessories,20,Utah,Summer
64,Male,Coat,Outerwear,36,Kentucky,Spring
27,Male,Sandals,Footwear,39,Nebraska,Summer
24,Male,Skirt,Clothing,71,Virginia,Winter
48,Male,Shoes,Footwear,59,Wyoming,Winter
49,Male,Jeans,Clothing,50,New Mexico,Spring
36,Male,Sandals,Footwear,41,Oregon,Fall
56,Male,Blouse,Clothing,59,South Carolina,Fall
37,Male,Hat,Accessories,87,Arizona,Winter
42,Male,Sweater,Clothing,68,Kentucky,Spring
28,Male,Skirt,Clothing,90,New York,Winter
27,Male,Jeans,Clothing,71,Texas,Fall
63,Male,Sneakers,Footwear,64,Missouri,Fall
58,Male,Jewelry,Accessories,76,Pennsylvania,Fall
37,Male,Jewelry,Accessories,42,Oregon,Fall
56,Male,Pants,Clothing,80,Nevada,Spring
18,Male,Belt,Accessories,56,Arkansas,Spring
48,Male,Hat,Accessories,25,Minnesota,Summer
31,Male,Sneakers,Footwear,74,Georgia,Winter
51,Male,Pants,Clothing,30,Rhode Island,Summer
65,Male,T-shirt,Clothing,96,Nevada,Spring
53,Male,Sneakers,Footwear,64,Texas,Fall
55,Male,Shorts,Clothing,88,Florida,Winter
62,Male,Shoes,Footwear,88,North Dakota,Summer
55,Male,Gloves,Accessories,88,West Virginia,Summer
64,Male,Socks,Clothing,36,Nebraska,Spring
52,Male,Dress,Clothing,40,Tennessee,Spring
24,Male,Handbag,Accessories,39,Oklahoma,Spring
38,Male,Belt,Accessories,40,Wisconsin,Summer
59,Male,Scarf,Accessories,34,Oregon,Winter
27,Male,Sneakers,Footwear,83,North Carolina,Winter
24,Male,Sweater,Clothing,85,Pennsylvania,Summer
23,Male,Coat,Outerwear,27,North Dakota,Summer
69,Male,Jewelry,Accessories,78,Ohio,Spring
59,Male,Sunglasses,Accessories,32,Oklahoma,Summer
51,Male,Shoes,Footwear,51,South Carolina,Fall
63,Male,Scarf,Accessories,32,Maine,Spring
54,Male,Dress,Clothing,62,Nevada,Winter
32,Male,T-shirt,Clothing,29,Montana,Fall
39,Male,Backpack,Accessories,69,New Hampshire,Fall
66,Male,Jewelry,Accessories,25,Maine,Winter
28,Male,Jeans,Clothing,76,California,Winter
50,Male,Sunglasses,Accessories,77,West Virginia,Fall
70,Male,Sweater,Clothing,33,California,Fall
67,Male,Shorts,Clothing,93,West Virginia,Fall
64,Male,Jewelry,Accessories,39,Louisiana,Spring
45,Male,Coat,Outerwear,93,Georgia,Summer
22,Male,Handbag,Accessories,82,Washington,Summer
27,Male,Boots,Footwear,42,Virginia,Spring
25,Male,Gloves,Accessories,71,Indiana,Winter
37,Male,Sweater,Clothing,86,Minnesota,Spring
26,Male,T-shirt,Clothing,82,Idaho,Spring
33,Male,Shoes,Footwear,65,Vermont,Fall
43,Male,Scarf,Accessories,29,North Dakota,Spring
37,Male,Sneakers,Footwear,65,Rhode Island,Winter
46,Male,Dress,Clothing,88,South Carolina,Fall
22,Male,Belt,Accessories,46,Mississippi,Fall
20,Male,Boots,Footwear,67,Montana,Winter
60,Male,Scarf,Accessories,35,Idaho,Fall
39,Male,Boots,Footwear,66,Utah,Winter
43,Male,T-shirt,Clothing,91,Oklahoma,Fall
31,Male,Backpack,Accessories,78,California,Fall
19,Male,Sneakers,Footwear,45,Nevada,Winter
35,Male,T-shirt,Clothing,93,Delaware,Spring
41,Male,Jeans,Clothing,74,South Carolina,Summer
52,Male,Gloves,Accessories,55,Maryland,Spring
45,Male,Hoodie,Clothing,76,North Carolina,Spring
34,Male,Sneakers,Footwear,66,Alabama,Spring
35,Male,Shorts,Clothing,51,Minnesota,Winter
29,Male,Sweater,Clothing,26,Virginia,Spring
59,Male,Jeans,Clothing,29,Michigan,Summer
24,Male,Jacket,Outerwear,74,Maine,Summer
70,Male,Jewelry,Accessories,99,Nevada,Summer
29,Male,Backpack,Accessories,88,Wyoming,Winter
67,Male,Coat,Outerwear,31,Connecticut,Winter
36,Male,Belt,Accessories,55,Oregon,Spring
23,Male,Sandals,Footwear,81,Mississippi,Fall
18,Male,Sweater,Clothing,73,Illinois,Spring
53,Male,Shorts,Clothing,91,Utah,Winter
32,Male,Socks,Clothing,54,North Carolina,Spring
38,Male,Shirt,Clothing,40,Kentucky,Winter
47,Male,Pants,Clothing,59,Minnesota,Fall
46,Male,Scarf,Accessories,26,New York,Spring
66,Male,Sweater,Clothing,23,Illinois,Winter
40,Male,Jeans,Clothing,87,North Dakota,Winter
43,Male,Pants,Clothing,71,Louisiana,Winter
58,Male,Backpack,Accessories,91,Illinois,Winter
21,Male,Coat,Outerwear,64,Wyoming,Winter
42,Male,Sandals,Footwear,94,Washington,Winter
24,Male,Shirt,Clothing,40,Texas,Summer
43,Male,Hat,Accessories,76,New Hampshire,Winter
47,Male,Shirt,Clothing,86,Indiana,Fall
49,Male,Skirt,Clothing,92,Alabama,Fall
50,Male,Shoes,Footwear,52,Oklahoma,Spring
51,Male,Coat,Outerwear,28,Montana,Winter
40,Male,Pants,Clothing,46,Tennessee,Summer
45,Male,Jewelry,Accessories,50,New Mexico,Summer
52,Male,Belt,Accessories,23,Iowa,Winter
62,Male,Jacket,Outerwear,50,Idaho,Summer
20,Male,Shirt,Clothing,89,Oklahoma,Winter
43,Male,Hoodie,Clothing,81,Florida,Winter
29,Male,Sunglasses,Accessories,69,Michigan,Fall
22,Male,Sunglasses,Accessories,67,Hawaii,Summer
48,Male,Dress,Clothing,20,California,Summer
42,Male,Boots,Footwear,29,Iowa,Fall
19,Male,Shirt,Clothing,74,West Virginia,Summer
60,Male,Shorts,Clothing,82,Washington,Spring
32,Male,Gloves,Accessories,23,Missouri,Summer
26,Male,Jewelry,Accessories,45,New York,Summer
25,Male,Boots,Footwear,21,Connecticut,Summer
66,Male,Jewelry,Accessories,31,Virginia,Summer
45,Male,Pants,Clothing,45,Missouri,Summer
54,Male,Jewelry,Accessories,56,Nebraska,Winter
37,Male,Jacket,Outerwear,97,New Jersey,Summer
54,Male,Blouse,Clothing,100,Utah,Fall
50,Male,Blouse,Clothing,96,North Carolina,Fall
25,Male,Gloves,Accessories,99,Rhode Island,Spring
47,Male,Shorts,Clothing,91,Arkansas,Winter
63,Male,Hat,Accessories,30,Maryland,Winter
64,Male,Shoes,Footwear,65,South Carolina,Summer
18,Male,Boots,Footwear,93,Ohio,Winter
59,Male,Jacket,Outerwear,81,Illinois,Fall
37,Male,Jewelry,Accessories,81,Georgia,Summer
23,Male,Sunglasses,Accessories,52,Alabama,Winter
54,Male,Skirt,Clothing,88,Oklahoma,Summer
38,Male,Jeans,Clothing,24,Vermont,Winter
19,Male,Backpack,Accessories,51,Nebraska,Spring
34,Male,Backpack,Accessories,38,Georgia,Fall
21,Male,Shorts,Clothing,46,Alabama,Fall
50,Male,Dress,Clothing,63,Minnesota,Summer
55,Male,Scarf,Accessories,72,Missouri,Winter
20,Male,Jeans,Clothing,39,Georgia,Winter
34,Male,Coat,Outerwear,42,West Virginia,Spring
62,Male,Sweater,Clothing,76,Arkansas,Summer
21,Male,Sneakers,Footwear,66,Ohio,Summer
21,Male,Scarf,Accessories,90,Connecticut,Spring
42,Male,Sweater,Clothing,56,North Dakota,Summer
35,Male,Jewelry,Accessories,43,Kansas,Winter
39,Male,Handbag,Accessories,84,Iowa,Winter
68,Male,Hoodie,Clothing,88,Vermont,Summer
46,Male,Hat,Accessories,88,Wisconsin,Fall
41,Male,Belt,Accessories,42,Connecticut,Winter
23,Male,Hoodie,Clothing,73,Oklahoma,Fall
68,Male,Hat,Accessories,73,Missouri,Summer
48,Male,Shoes,Footwear,44,Tennessee,Spring
38,Male,Sandals,Footwear,63,New Mexico,Fall
41,Male,Jacket,Outerwear,68,Iowa,Winter
58,Male,Sweater,Clothing,29,Maine,Spring
49,Male,Socks,Clothing,85,South Dakota,Summer
57,Male,Sneakers,Footwear,42,Colorado,Winter
49,Male,Coat,Outerwear,69,Vermont,Summer
50,Male,Shirt,Clothing,62,Michigan,Fall
28,Male,Backpack,Accessories,48,Nevada,Summer
38,Male,Boots,Footwear,68,Indiana,Winter
33,Male,Handbag,Accessories,36,Michigan,Fall
30,Male,Dress,Clothing,63,California,Fall
43,Male,Sneakers,Footwear,39,Oklahoma,Winter
43,Male,Boots,Footwear,78,Iowa,Spring
36,Male,Shoes,Footwear,99,Rhode Island,Winter
36,Male,T-shirt,Clothing,31,Washington,Fall
64,Male,Boots,Footwear,45,Florida,Spring
59,Male,Pants,Clothing,30,South Carolina,Fall
55,Male,Shoes,Footwear,24,West Virginia,Summer
42,Male,Shoes,Footwear,22,Missouri,Winter
61,Male,T-shirt,Clothing,63,Maine,Spring
28,Male,Scarf,Accessories,40,Georgia,Fall
65,Male,Shorts,Clothing,20,Maine,Spring
27,Male,Jewelry,Accessories,20,Illinois,Winter
41,Male,T-shirt,Clothing,80,Delaware,Summer
21,Male,Shirt,Clothing,87,West Virginia,Fall
61,Male,Shirt,Clothing,46,Hawaii,Fall
19,Male,Gloves,Accessories,49,New York,Winter
22,Male,Scarf,Accessories,65,New Mexico,Fall
64,Male,Skirt,Clothing,62,Indiana,Winter
28,Male,Hat,Accessories,67,Kentucky,Spring
34,Male,Hoodie,Clothing,41,West Virginia,Fall
61,Male,Boots,Footwear,49,North Dakota,Fall
24,Male,Blouse,Clothing,100,Oregon,Fall
19,Male,Belt,Accessories,54,Minnesota,Summer
51,Male,Sunglasses,Accessories,84,South Carolina,Spring
36,Male,Shorts,Clothing,41,Vermont,Winter
65,Male,Gloves,Accessories,88,Minnesota,Spring
46,Male,Sandals,Footwear,40,Delaware,Spring
59,Male,Shirt,Clothing,39,Pennsylvania,Summer
51,Male,Coat,Outerwear,37,Iowa,Spring
51,Male,Pants,Clothing,52,New Jersey,Winter
